task_type,started_at,finished_at,duration_ms,submitted,completed,succeeded,failed,canceled,submit_errors,foreign_consumed,throughput_tps,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_max_ms,queue_p95_ms,run_p95_ms,attempt_p95,retries_observed,requeue_events,recovered_events,recovered_task_total,recovered_task_success,recovered_task_success_rate
exp_tp_c10_1772868755,2026-03-07T07:32:35.997002212Z,2026-03-07T07:34:13.612626542Z,97615,10,10,10,0,0,0,0,0.1024,54537.50,94282.50,96856.50,97500.00,273.00,94016.95,1.00,0,0,0,0,0,0.0000
exp_tp_c20_1772868853,2026-03-07T07:34:13.774217084Z,2026-03-07T07:38:45.784820382Z,272010,20,20,20,0,0,0,0,0.0735,108895.50,262456.05,270011.21,271900.00,75196.60,206528.20,1.00,0,0,0,0,0,0.0000
exp_tp_c50_1772869125,2026-03-07T07:38:45.953092946Z,2026-03-07T07:57:43.964992091Z,1138011,50,50,50,0,0,0,0,0.0439,478621.50,1112523.80,1132940.70,1137924.00,994964.05,628414.50,1.00,0,0,0,0,0,0.0000
exp_tp_c100_1772870263,2026-03-07T07:57:44.125163702Z,2026-03-07T08:14:33.737338042Z,1009612,100,100,100,0,0,0,0,0.0990,536869.50,955902.85,995558.29,1009447.00,834147.20,208150.50,1.00,0,0,0,0,0,0.0000
exp_tp_c200_1772871273,2026-03-07T08:14:33.905194183Z,2026-03-07T08:45:40.72316129Z,1866817,200,200,200,0,0,0,0,0.1071,927783.50,1774928.20,1849418.33,1866689.00,1669065.35,127397.05,1.00,0,0,0,0,0,0.0000
exp_tp_c500_1772873140,2026-03-07T08:45:40.916413537Z,2026-03-07T09:30:40.918186723Z,2700001,500,291,291,0,0,0,0,0.1078,1337831.00,2546170.00,2661459.50,2689937.00,2435343.00,121601.00,1.00,0,0,0,0,0,0.0000
